idIIP,nazwaGlown,kategoria,rodzaj,x,y
PL.PZGiK.320.NGRP.2,Osiedle Struga,miejscowość,część miasta,16.655215578337824,50.71784561112203
PL.PZGiK.320.NGRP.4,Abisynia,miejscowość,część wsi,17.82297986033353,51.887198246523994
PL.PZGiK.320.NGRP.6,Abisynia,miejscowość,przysiółek wsi,15.65272233507724,52.82535388660447
PL.PZGiK.320.NGRP.7,Abisynia,miejscowość,część wsi,16.03314116858592,52.84614485790384
PL.PZGiK.320.NGRP.8,Abisynia,miejscowość,część miasta,17.970743451611956,50.49729746841269
PL.PZGiK.320.NGRP.9,Abisynia,miejscowość,część wsi,17.837214182881223,53.929285859700805
PL.PZGiK.320.NGRP.10,Abisynia,miejscowość,część miasta,18.71751187298262,53.039023466474866
PL.PZGiK.320.NGRP.11,Abisynia,miejscowość,część wsi,22.49989959887799,52.11614046130924
PL.PZGiK.320.NGRP.13,Abisynia,miejscowość,część wsi,22.526223925611728,52.059934988777435
PL.PZGiK.320.NGRP.14,Abisynia,miejscowość,przysiółek wsi,23.00620852628309,51.68739156008064
PL.PZGiK.320.NGRP.15,Abisynia,miejscowość,część kolonii,23.89059105678184,50.71658004462078
PL.PZGiK.320.NGRP.16,Abisynia,miejscowość,część miasta,18.631999428054897,50.003489127315255
PL.PZGiK.320.NGRP.23,Abram,miejscowość,część wsi,19.65399662713093,51.60788582197731
PL.PZGiK.320.NGRP.24,Abramowce,miejscowość,leśniczówka,19.89656894175687,53.9943666888777
PL.PZGiK.320.NGRP.25,Abramowice,miejscowość,część miasta,22.581598714291346,51.20852907023074
PL.PZGiK.320.NGRP.26,Abramowice,miejscowość,przysiółek wsi,20.194168013420406,49.79205711599915
PL.PZGiK.320.NGRP.27,Abramowice Kościelne,miejscowość,wieś,22.62946557398994,51.191300097891364
PL.PZGiK.320.NGRP.28,Abramowice Prywatne,miejscowość,wieś,22.620532853047173,51.204705931266595
PL.PZGiK.320.NGRP.31,Abramów,miejscowość,wieś,22.315700949485457,51.456231956138815
PL.PZGiK.320.NGRP.32,Abramów,miejscowość,część wsi,22.53367394100136,51.04685307387805
PL.PZGiK.320.NGRP.33,Abramów,miejscowość,wieś,22.700393220930437,50.698238138933
PL.PZGiK.320.NGRP.36,Abramów,miejscowość,przysiółek wsi,19.180209645119803,49.57826056944516
PL.PZGiK.320.NGRP.39,Abramów-Kolonia,miejscowość,część wsi,22.71382712783996,50.69880182492747
PL.PZGiK.320.NGRP.40,Abramówka,miejscowość,część wsi,23.12966534109917,51.31778683548695
PL.PZGiK.320.NGRP.42,Abramy,miejscowość,wieś,21.80067010468551,52.253874150044524
PL.PZGiK.320.NGRP.44,Achrymowce,miejscowość,wieś,23.547004764915467,53.51357120420202
PL.PZGiK.320.NGRP.54,Adama,miejscowość,część wsi,20.210969624159294,50.41423216919353
PL.PZGiK.320.NGRP.55,Osiedle Adama Asnyka,miejscowość,część miasta,16.136064789539184,51.20119429002574
PL.PZGiK.320.NGRP.56,Osiedle Adama Asnyka,miejscowość,część miasta,18.074875810259506,51.74656332691146
PL.PZGiK.320.NGRP.57,Osiedle Adama,miejscowość,część miasta,19.072508460426377,50.21810343057659
PL.PZGiK.320.NGRP.59,Adamcowa,miejscowość,część wsi,19.925683656195588,49.6357646548761
PL.PZGiK.320.NGRP.61,Adamczowice,miejscowość,wieś,21.47092805285475,50.654391080028404
PL.PZGiK.320.NGRP.62,Kolonia Adamczowice,miejscowość,kolonia wsi,21.474685811892144,50.65888565416409
PL.PZGiK.320.NGRP.63,Adamczycha,miejscowość,wieś,21.26304739342583,53.10696848161064
PL.PZGiK.320.NGRP.64,Jadamczyki,miejscowość,część wsi,20.064667769732292,49.63650160520396
PL.PZGiK.320.NGRP.65,Adamczykowa Rola,miejscowość,część wsi,19.62782016353053,49.52248366840735
PL.PZGiK.320.NGRP.67,Adamek,miejscowość,wieś,20.506439075823963,51.07069828889592
PL.PZGiK.320.NGRP.71,Adamierz,miejscowość,wieś,17.79541580530108,52.152594626835615
PL.PZGiK.320.NGRP.72,Adamierz,miejscowość,wieś,20.900085183096884,50.205051976776204
PL.PZGiK.320.NGRP.73,Adamin,miejscowość,wieś,18.836182663681914,52.16352043389188
PL.PZGiK.320.NGRP.75,Adaminowo,miejscowość,wieś,19.271922743439898,52.59500371693571
PL.PZGiK.320.NGRP.76,Adaminów,miejscowość,część wsi,21.133055623756114,51.57666663195985
PL.PZGiK.320.NGRP.77,Adamka,miejscowość,część wsi,21.652767201059127,53.14822256126583
PL.PZGiK.320.NGRP.78,Adamka,miejscowość,wieś,18.837250855538752,51.76634132359647
PL.PZGiK.320.NGRP.79,Adamki,miejscowość,wieś,18.494978128319985,51.66476169946337
PL.PZGiK.320.NGRP.80,Adamki,miejscowość,osada,17.114687401459094,54.00111285601562
PL.PZGiK.320.NGRP.81,Adamki,miejscowość,wieś,19.123000932004228,52.998789159082634
PL.PZGiK.320.NGRP.82,Adamki,miejscowość,część wsi,22.56695994715354,51.76769337341113
PL.PZGiK.320.NGRP.83,Adamki,miejscowość,kolonia wsi,23.48174613320088,51.50925763171628
PL.PZGiK.320.NGRP.84,Adamki,miejscowość,część wsi,19.37382579253849,49.67495370700132
PL.PZGiK.320.NGRP.85,Adamkowo,miejscowość,wieś,17.69924684016153,53.51408656556158
PL.PZGiK.320.NGRP.86,Adamkówka,miejscowość,część wsi,19.6368642801141,49.76577625114604
PL.PZGiK.320.NGRP.87,Adamkówka,miejscowość,część wsi,19.717250370278965,49.75712639955161
PL.PZGiK.320.NGRP.88,Adamkówka,miejscowość,część wsi,19.648312447805708,49.488498864870614
PL.PZGiK.320.NGRP.90,Adamowa,miejscowość,część wsi,19.76174138044364,49.7172638656626
PL.PZGiK.320.NGRP.91,Adamowa Góra,miejscowość,wieś,20.205476224794122,52.26434556508705
PL.PZGiK.320.NGRP.95,Adamowe Łączki,miejscowość,część wsi,23.304960801020968,53.96620620654932
PL.PZGiK.320.NGRP.96,Adamowice,miejscowość,część miasta,18.297552526098638,50.51625177147097
PL.PZGiK.320.NGRP.97,Adamowice,miejscowość,wieś,18.331659365075478,50.13028090403049
PL.PZGiK.320.NGRP.98,Adamowice,miejscowość,wieś,19.298013959276187,52.234447125121406
PL.PZGiK.320.NGRP.99,Adamowice,miejscowość,przysiółek wsi,19.323284922241516,52.21279676109885
PL.PZGiK.320.NGRP.100,Adamowice,miejscowość,wieś,20.481168781663868,51.94076146505313
PL.PZGiK.320.NGRP.101,Adamowice,miejscowość,wieś,19.853706555866697,50.37864297580645
PL.PZGiK.320.NGRP.102,Adamowizna,miejscowość,wieś,23.12800786197217,54.17738302361125
PL.PZGiK.320.NGRP.103,Adamowizna,miejscowość,wieś,20.63356206641044,52.07035821766711
PL.PZGiK.320.NGRP.104,Adamowizna A,miejscowość,część wsi,20.638330123237484,52.06991398727145
PL.PZGiK.320.NGRP.105,Adamowizna B,miejscowość,przysiółek wsi,20.641378887388058,52.07463726781651
PL.PZGiK.320.NGRP.106,Adamowo,miejscowość,część wsi,16.431954249970328,51.90923464334454
PL.PZGiK.320.NGRP.107,Adamowo,miejscowość,osada,16.690483932523296,51.96369872454039
PL.PZGiK.320.NGRP.108,Adamowo,miejscowość,wieś,16.127069629649817,52.09328797962847
PL.PZGiK.320.NGRP.109,Adamowo,miejscowość,wieś,18.04908707976786,52.44877485148175
PL.PZGiK.320.NGRP.110,Adamowo,miejscowość,wieś,19.26149484775154,54.15450310941782
PL.PZGiK.320.NGRP.111,Adamowo,miejscowość,wieś,19.379011697867192,53.90598604893896
PL.PZGiK.320.NGRP.112,Adamowo,miejscowość,wieś,19.348694397361243,53.705039625802826
PL.PZGiK.320.NGRP.113,Adamowo,miejscowość,kolonia,17.304527368067944,53.388489587097105
PL.PZGiK.320.NGRP.114,Adamowo,miejscowość,kolonia wsi,18.75674211982221,52.781088680825405
PL.PZGiK.320.NGRP.115,Adamowo,miejscowość,wieś,19.1645684893612,53.4277683573432
PL.PZGiK.320.NGRP.116,Adamowo,miejscowość,wieś,19.276668367387284,52.94944243328095
PL.PZGiK.320.NGRP.117,Adamowo,miejscowość,wieś,19.486673332198684,52.842782758196094
PL.PZGiK.320.NGRP.118,Adamowo,miejscowość,wieś,19.920323388374747,53.18041901333316
PL.PZGiK.320.NGRP.119,Adamowo,miejscowość,wieś,19.89362434021453,52.91167380119152
PL.PZGiK.320.NGRP.120,Adamowo,miejscowość,wieś,20.177558557930897,52.91437278132869
PL.PZGiK.320.NGRP.121,Adamowo,miejscowość,wieś,21.27503409819029,52.91363026684751
PL.PZGiK.320.NGRP.122,Adamowo,miejscowość,wieś,20.69995305820576,52.66294874132617
PL.PZGiK.320.NGRP.123,Adamowo,miejscowość,część wsi,22.453130311409243,52.66168439384208
PL.PZGiK.320.NGRP.124,Adamowo,miejscowość,wieś,20.990434782065833,53.8701173418468
PL.PZGiK.320.NGRP.125,Adamowo,miejscowość,wieś,20.607403484365175,52.56882333543887
PL.PZGiK.320.NGRP.126,Adamowo,miejscowość,część wsi,20.889726958886527,52.57318474509824
PL.PZGiK.320.NGRP.127,Adamowo,miejscowość,część wsi,22.329799848001112,53.587831690596325
PL.PZGiK.320.NGRP.128,Adamowo,miejscowość,leśniczówka,23.12298804233065,52.364732337232745
PL.PZGiK.320.NGRP.129,Adamowo,miejscowość,osada,23.12764467562517,52.35936122798586
PL.PZGiK.320.NGRP.130,Adamowo,miejscowość,wieś,21.49324089113268,52.73479067726452
PL.PZGiK.320.NGRP.131,Adamowo-Osiedle,miejscowość,część wsi,19.329730671916533,54.161791812830074
